model,feature,lag,ik,da,dh,dh_rel
TACR,rv20,16,5.6700660167052774e-08,0.00017689302330836654,0.00539598660543561,0.0025746747675303556
TACR,rv20,17,6.061099355747501e-08,0.00018050422659143806,0.005755591671913862,0.0027462589760613716
TACR,rv20,18,8.4890245943825e-08,0.00020015945483464748,0.0063871960155665874,0.003047626619381154
TACR,rv20,19,1.2809869076590985e-07,0.0002443392586428672,0.007710282225161791,0.0036789322411706184
TACR,rv20,20,9.970755172616919e-07,0.0007145775598473847,0.017321564257144928,0.00826491940919606
TACR,rsi,1,0.0006465314072556794,0.016016941517591476,0.6903310418128967,0.32938886705318704
TACR,rsi,2,1.7299838361850561e-07,0.00034474371932446957,0.007070023100823164,0.003373435001712096
TACR,rsi,3,1.860950220589075e-07,0.0003563688660506159,0.007079161237925291,0.003377795229551687
TACR,rsi,4,2.2195669657776307e-07,0.00038683813181705773,0.007565814536064863,0.0036100000252406177
TACR,rsi,5,2.2971003943439428e-07,0.00039346213452517986,0.0077516199089586735,0.003698656361929697
TACR,rsi,6,2.3347874389401113e-07,0.0003923234762623906,0.007721039466559887,0.0036840650185514987
TACR,rsi,7,2.398521985469415e-07,0.00040541961789131165,0.008095121011137962,0.003862556624304141
TACR,rsi,8,2.461119947838597e-07,0.00040891760727390647,0.008293775841593742,0.003957344031468438
TACR,rsi,9,2.5219966914846736e-07,0.0004058876074850559,0.008265950717031956,0.0039440673776605034
TACR,rsi,10,2.486966081960418e-07,0.0004052965377923101,0.008297008462250233,0.003958886464288579
TACR,rsi,11,2.5897591626744543e-07,0.0004072330775670707,0.00852753035724163,0.004068879121757327
